,Pais,Casos_totales,Nuevos_casos,Muertes_totales,Nuevas_muertes,Total_recuperados,Casos_activos,Casos_criticos,Casos_1M_Pop,Muertes_1M_Pop,Fecha primer_caso
0,USA,"123,781",+203,"2,229",+8,"3,238","118,314","2,666",374,7,Jan 20
1,Italy,"92,472",,"10,023",,"12,384","70,065","3,856","1,529",166,Jan 29
2,Spain,"78,797","+5,562","6,528",+546,"14,709","57,560","4,165","1,685",140,Jan 30
3,Germany,"58,247",+552,455,+22,"8,481","49,311","1,581",695,5,Jan 26
4,Iran,"38,309","+2,901","2,640",+123,"12,391","23,278","3,206",456,31,Feb 18
5,France,"37,575",,"2,314",,"5,700","29,561","4,273",576,35,Jan 23
6,UK,"17,089",,"1,019",,135,"15,935",163,252,15,Jan 30
7,Switzerland,"14,352",+276,282,+18,"1,595","12,475",301,"1,658",33,Feb 24
8,Belgium,"10,836","+1,702",431,+78,"1,359","9,046",867,935,37,Feb 03
9,Netherlands,"9,762",,639,,3,"9,120",914,570,37,Feb 26
10,S. Korea,"9,583",+105,152,+8,"5,033","4,398",59,187,3,Jan 19
11,Austria,"8,486",+215,86,+18,479,"7,921",187,942,10,Feb 24
12,Turkey,"7,402",,108,,70,"7,224",445,88,1,Mar 09
13,Portugal,"5,962",+792,119,+19,43,"5,800",89,585,12,Mar 01
14,Canada,"5,655",,60,,508,"5,087",120,150,2,Jan 24
15,Norway,"4,213",+198,23,,7,"4,183",84,777,4,Feb 25
16,Australia,"3,969",+334,16,+2,226,"3,727",23,156,0.6,Jan 24
17,Brazil,"3,904",,117,+3,6,"3,781",296,18,0.6,Feb 24
18,Israel,"3,865",+246,14,+2,89,"3,762",66,447,2,Feb 20
19,Sweden,"3,447",,105,,16,"3,326",239,341,10,Jan 30
20,Czechia,"2,689",+58,13,+2,11,"2,665",45,251,1,Feb 29
21,Malaysia,"2,470",+150,34,+7,388,"2,048",73,76,1,Jan 24
22,Ireland,"2,415",,36,,5,"2,374",59,489,7,Feb 28
23,Denmark,"2,395",+194,72,+7,1,"2,322",109,413,12,Feb 26
24,Chile,"1,909",,6,,61,"1,842",7,100,0.3,Mar 02
25,Luxembourg,"1,831",,18,,40,"1,773",25,"2,925",29,Feb 28
26,Ecuador,"1,823",,48,,3,"1,772",58,103,3,Feb 28
27,Romania,"1,760",+308,40,+3,169,"1,551",34,91,2,Feb 25
28,Poland,"1,717",+79,19,+1,7,"1,691",3,45,0.5,Mar 03
29,Japan,"1,693",,52,,424,"1,217",56,13,0.4,Jan 14
30,Russia,"1,534",+270,8,+4,64,"1,462",8,11,0.05,Jan 30
31,Pakistan,"1,526",+31,13,+1,29,"1,484",11,7,0.06,Feb 25
32,Philippines,"1,418",+343,71,+3,42,"1,305",1,13,0.6,Jan 29
33,Thailand,"1,388",+143,7,+1,97,"1,284",11,20,0.1,Jan 12
34,Indonesia,"1,285",+130,114,+12,64,"1,107",,5,0.4,Mar 01
35,Finland,"1,221",+54,9,,10,"1,202",32,220,2,Jan 28
36,Saudi Arabia,"1,203",,4,,37,"1,162",6,35,0.1,Mar 01
37,South Africa,"1,187",,1,,31,"1,155",7,20,0.02,Mar 04
38,Greece,"1,061",,32,,52,977,66,102,3,Feb 25
39,India,987,,25,+1,87,875,,0.7,0.02,Jan 29
40,Iceland,963,,2,,114,847,18,"2,822",6,Feb 27
41,Panama,901,,17,,4,880,32,209,4,Mar 09
42,Mexico,848,+131,16,+4,4,828,1,7,0.1,Feb 27
43,Singapore,802,,3,+1,198,601,19,137,0.5,Jan 22
44,Argentina,745,,19,,72,654,,16,0.4,Mar 02
45,Slovenia,730,+46,11,+2,10,709,23,351,5,Mar 03
46,Dominican Republic,719,,28,,3,688,,66,3,Feb 29
47,Croatia,713,+56,6,+1,52,655,26,174,1,Feb 24
48,Diamond Princess,712,,10,,597,105,15,,,Feb 04
49,Estonia,679,+34,3,+2,20,656,10,512,2,Feb 26
50,Peru,671,,16,,16,639,33,20,0.5,Mar 05
51,Serbia,659,,11,+1,42,606,25,75,1,Mar 05
52,Hong Kong,641,+81,4,,118,519,5,86,0.5,Jan 22
53,Colombia,608,,6,,10,592,,12,0.1,Mar 05
54,Qatar,590,,1,,45,544,6,205,0.3,Feb 28
55,Egypt,576,,36,,121,419,,6,0.4,Feb 13
56,Iraq,547,+41,42,,143,362,,14,1,Feb 21
57,New Zealand,514,,1,,56,457,1,107,0.2,Feb 27
58,Bahrain,499,+23,4,,272,223,1,293,2,Feb 23
59,UAE,468,,2,,55,411,2,47,0.2,Jan 28
60,Algeria,454,,29,,31,394,,10,0.7,Feb 24
61,Lebanon,438,+26,10,+2,30,398,4,64,1,Feb 20
