,Pais,Casos_totales,Nuevos_casos,Muertes_totales,Nuevas_muertes,Total_recuperados,Casos_activos,Casos_criticos,Casos_1M_Pop,Muertes_1M_Pop,Total_Test,Total_Test_1M_Pop,Continente
0,North America,"488,048","+23,830","17,194","+1,567","30,791","440,063","10,762",,,,,North America
1,Europe,"775,173","+30,257","65,453","+4,187","179,083","530,637","30,359",,,,,Europe
2,Asia,"262,869","+9,560","9,887",+359,"128,912","124,070","6,444",,,,,Asia
3,South America,"37,666","+2,204","1,478",+84,"4,064","32,124","1,129",,,,,South America
4,Oceania,"7,429",+81,52,+1,"3,305","4,072",85,,,,,Australia/Oceania
5,Africa,"12,584",+598,628,+52,"1,694","10,262",154,,,,,Africa
6,,721,,13,,619,89,10,,,,,
7,World,"1,584,490","+66,530","94,705","+6,250","348,468","1,141,317","48,943",203,12.1,,,All
8,USA,"456,712","+21,785","16,231","+1,443","24,579","415,902","9,813","1,380",49,"2,309,686","6,978",North America
9,Spain,"152,446","+4,226","15,238",+446,"52,165","85,043","7,371","3,261",326,"355,000","7,593",Europe
10,Italy,"143,626","+4,204","18,279",+610,"28,470","96,877","3,605","2,375",302,"853,369","14,114",Europe
11,France,"117,749","+4,799","12,210","+1,341","23,206","82,333","7,066","1,804",187,"224,254","3,436",Europe
12,Germany,"115,523","+2,227","2,451",+102,"46,300","66,772","4,895","1,379",29,"1,317,887","15,730",Europe
13,Iran,"66,220","+1,634","4,110",+117,"32,309","29,801","3,918",788,49,"231,393","2,755",Asia
14,UK,"65,077","+4,344","7,978",+881,135,"56,964","1,559",959,118,"298,169","4,392",Europe
15,Turkey,"42,282","+4,056",908,+96,"2,142","39,232","1,552",501,11,"276,338","3,277",Asia
16,Belgium,"24,983","+1,580","2,523",+283,"5,164","17,296","1,285","2,156",218,"84,248","7,269",Europe
17,Switzerland,"24,046",+766,948,+53,"10,600","12,498",386,"2,778",110,"178,500","20,625",Europe
18,Netherlands,"21,762","+1,213","2,396",+148,250,"19,116","1,424","1,270",140,"101,534","5,926",Europe
19,Canada,"20,690","+1,252",503,+76,"5,196","14,991",518,548,13,"370,315","9,812",North America
20,Brazil,"16,474",+286,839,+19,173,"15,462",296,78,4,"63,000",296,South America
21,Portugal,"13,956",+815,409,+29,205,"13,342",241,"1,369",40,"140,368","13,766",Europe
22,Austria,"13,244",+302,295,+22,"5,240","7,709",266,"1,471",33,"126,287","14,022",Europe
23,S. Korea,"10,423",+39,204,+4,"6,973","3,246",55,203,4,"477,304","9,310",Asia
24,Russia,"10,131","+1,459",76,+13,698,"9,357",8,69,0.5,"1,004,719","6,885",Europe
25,Israel,"9,968",+564,86,+13,"1,011","8,871",166,"1,152",10,"117,339","13,557",Asia
26,Sweden,"9,141",+722,793,+106,205,"8,143",719,905,79,"54,700","5,416",Europe
27,India,"6,725",+809,226,+48,620,"5,879",,5,0.2,"177,584",129,Asia
28,Ireland,"6,574",+500,263,+28,25,"6,286",165,"1,331",53,"53,000","10,734",Europe
29,Norway,"6,160",+118,108,+7,32,"6,020",78,"1,136",20,"121,034","22,326",Europe
30,Australia,"6,104",+52,51,+1,"2,987","3,066",81,239,2,"330,134","12,946",Australia/Oceania
31,Chile,"5,972",+426,57,+9,"1,274","4,641",360,312,3,"68,353","3,576",South America
32,Denmark,"5,635",+233,237,+19,"1,736","3,662",120,973,41,"64,002","11,050",Europe
33,Poland,"5,575",+370,174,+15,284,"5,117",160,147,5,"107,597","2,843",Europe
34,Czechia,"5,467",+155,112,+13,301,"5,054",96,511,10,"106,845","9,977",Europe
35,Peru,"5,256",+914,138,+17,"1,438","3,680",124,159,4,"48,465","1,470",South America
36,Romania,"5,202",+441,248,+28,647,"4,307",178,270,13,"51,802","2,693",Europe
37,Ecuador,"4,965",+515,272,+30,339,"4,354",139,281,15,"19,102","1,083",South America
38,Japan,"4,667",,94,,632,"3,941",99,37,0.7,"61,498",486,Asia
39,Pakistan,"4,489",+226,65,+4,572,"3,852",31,20,0.3,"44,896",203,Asia
40,Malaysia,"4,228",+109,67,+2,"1,608","2,553",72,131,2,"63,367","1,958",Asia
41,Philippines,"4,076",+206,203,+21,124,"3,749",1,37,2,"24,500",224,Asia
42,Indonesia,"3,293",+337,280,+40,252,"2,761",,12,1,"14,354",52,Asia
43,Saudi Arabia,"3,287",+355,44,+3,666,"2,577",41,94,1,,,Asia
44,Mexico,"3,181",+396,174,+33,633,"2,374",89,25,1,"25,410",197,North America
45,Luxembourg,"3,115",+81,52,+6,374,"2,689",30,"4,976",83,"27,521","43,965",Europe
46,Serbia,"2,867",+201,66,+1,118,"2,683",127,328,8,"12,347","1,413",Europe
47,UAE,"2,659",,12,,239,"2,408",1,269,1,"593,095","59,967",Asia
48,Finland,"2,605",+118,42,+2,300,"2,263",82,470,8,"39,000","7,039",Europe
49,Panama,"2,528",,63,,16,"2,449",101,586,15,"11,776","2,729",North America
50,Thailand,"2,423",+54,32,+2,940,"1,451",61,35,0.5,"71,860","1,030",Asia
51,Qatar,"2,376",+166,6,,206,"2,164",37,825,2,"43,144","14,975",Asia
52,Dominican Republic,"2,349",+238,118,+10,80,"2,151",147,217,11,"7,151",659,North America
53,Colombia,"2,054",,55,,123,"1,876",85,40,1,"33,575",660,South America
54,Greece,"1,955",+71,87,+4,269,"1,599",79,188,8,"33,634","3,227",Europe
55,South Africa,"1,934",+89,18,,95,"1,821",7,33,0.3,"63,776","1,075",Africa
56,Singapore,"1,910",+287,6,,460,"1,444",29,326,1,"65,000","11,110",Asia
57,Ukraine,"1,892",+224,57,+5,45,"1,790",33,43,1,"20,608",471,Europe
58,Argentina,"1,795",,71,+6,365,"1,359",96,40,2,"14,850",329,South America
59,Egypt,"1,699",+139,118,+15,348,"1,233",,17,1,"25,000",244,Africa
60,Algeria,"1,666",+94,235,+30,347,"1,084",46,38,5,"3,359",77,Africa
61,Iceland,"1,648",+32,6,,688,954,11,"4,829",18,"32,663","95,718",Europe
62,Belarus,"1,486",+420,16,+3,139,"1,331",55,157,2,"49,000","5,186",Europe
63,Croatia,"1,407",+64,20,+1,219,"1,168",34,343,5,"13,680","3,332",Europe
64,Morocco,"1,374",+99,97,+4,109,"1,168",1,37,3,"6,116",166,Africa
65,Moldova,"1,289",+115,29,+2,50,"1,210",80,320,7,"5,108","1,266",Europe
66,New Zealand,"1,239",+29,1,,317,921,4,257,0.2,"51,165","10,610",Australia/Oceania
67,Iraq,"1,232",+30,69,,496,667,,31,2,"30,466",757,Asia
68,Estonia,"1,207",+22,24,,83,"1,100",9,910,18,"26,416","19,914",Europe
69,Slovenia,"1,124",+33,43,+3,128,953,34,541,21,"31,813","15,303",Europe
70,Hungary,980,+85,66,+8,96,818,17,101,7,"27,826","2,880",Europe
71,Hong Kong,974,+13,4,,293,677,14,130,0.5,"96,709","12,900",Asia
72,Lithuania,955,+43,16,+1,8,931,21,351,6,"32,809","12,052",Europe
73,Azerbaijan,926,+104,9,+1,101,816,27,91,0.9,"57,371","5,658",Asia
74,Armenia,921,+40,10,+1,138,773,30,311,3,"5,823","1,965",Asia
75,Kuwait,910,+55,1,,111,798,22,213,0.2,,,Asia
76,Bahrain,887,+64,5,,519,363,3,521,3,"55,096","32,379",Asia
77,Bosnia and Herzegovina,858,+54,35,+1,101,722,4,262,11,"6,911","2,106",Europe
78,Kazakhstan,764,+37,7,,60,697,21,41,0.4,"59,371","3,162",Asia
79,Cameroon,730,,10,,60,660,,27,0.4,,,Africa
